student_id,name,gender,grade,attendance_pct,study_hours_per_week,math_marks,science_marks,english_marks,social_studies_marks,total_marks,average_marks,result
STU1254,Yash Gupta,Male,10,100.0,11.4,66.0,65.4,68.5,74.7,274.6,68.6,Pass
STU1255,Saanvi Gupta,Female,12,85.6,5.6,52.1,48.0,54.4,50.8,205.3,51.3,Pass
STU1256,Aarav Kulkarni,Male,12,59.6,8.4,53.2,51.6,49.7,54.3,208.8,52.2,Pass
STU1257,Aadhya Chavan,Male,11,82.1,3.6,40.6,43.5,35.6,56.3,176.0,44.0,Pass
STU1258,Diya Patel,Female,11,58.0,13.0,52.0,56.5,52.1,60.0,220.6,55.2,Pass
STU1259,Shaurya Pillai,Male,9,100.0,2.3,67.3,70.4,64.6,76.0,278.3,69.6,Pass
STU1260,Sneha Verma,Female,9,100.0,14.4,74.6,73.9,70.9,71.7,291.1,72.8,Pass
STU1261,Vivaan Reddy,Male,12,72.0,13.5,54.1,39.9,52.0,46.2,192.2,48.0,Pass
STU1262,Kabir Patel,Female,10,53.1,13.9,49.3,45.8,41.8,32.2,169.1,42.3,Pass
STU1263,Yash Mehta,Male,11,69.5,9.8,66.3,53.3,49.1,57.0,225.7,56.4,Pass
STU1264,Meera Desai,Female,11,77.8,13.6,57.3,68.0,57.6,69.6,252.5,63.1,Pass
STU1265,Kabir Mehta,Male,12,58.9,8.3,35.9,31.7,36.3,31.9,135.8,34.0,Fail
STU1266,Neha Nair,Female,9,79.2,5.2,59.5,49.1,60.5,58.7,227.8,57.0,Pass
STU1267,Kavya Gupta,Male,10,77.7,16.0,65.6,69.3,75.0,78.6,288.5,72.1,Pass
STU1268,Rohan Nair,Female,9,81.5,9.7,53.3,62.2,58.0,57.6,231.1,57.8,Pass
STU1269,Myra Nair,Male,9,82.8,4.5,45.8,60.1,54.9,60.0,220.8,55.2,Pass
STU1270,Ananya Rao,Female,9,68.4,7.6,54.9,50.8,52.7,38.6,197.0,49.2,Pass
STU1271,Arjun Sharma,Female,9,69.8,7.8,45.7,39.0,46.6,44.4,175.7,43.9,Pass
STU1272,Krishna Iyer,Male,11,80.5,11.9,54.2,59.1,50.3,63.2,226.8,56.7,Pass
STU1273,Sneha Rao,Female,11,72.4,19.0,74.4,69.4,65.6,74.0,283.4,70.8,Pass
STU1274,Diya Iyer,Male,9,90.9,12.6,71.3,78.1,72.8,87.6,309.8,77.4,Pass
STU1275,Reyansh Gupta,Male,10,80.4,10.8,53.4,61.0,66.0,57.1,237.5,59.4,Pass
STU1276,Sai Desai,Male,12,100.0,20.8,85.9,99.4,97.1,96.3,378.7,94.7,Pass
STU1277,Ira Chavan,Female,10,89.8,14.4,60.1,83.5,65.4,72.6,281.6,70.4,Pass
STU1278,Myra Patel,Female,10,93.2,11.7,68.6,75.9,72.7,76.7,293.9,73.5,Pass
STU1279,Shaurya Kulkarni,Male,10,81.6,8.2,51.5,42.4,26.3,45.0,165.2,41.3,Pass
STU1280,Ira Desai,Female,9,81.9,11.4,61.7,68.8,70.8,74.3,275.6,68.9,Pass
STU1281,Riya Rao,Male,11,100.0,10.7,53.8,67.0,64.0,77.9,262.7,65.7,Pass
STU1282,Rohan Chavan,Male,10,75.5,10.1,62.9,58.0,70.8,57.0,248.7,62.2,Pass
STU1283,Pari Sharma,Male,9,86.6,15.6,84.6,68.4,71.4,68.9,293.3,73.3,Pass
STU1284,Dhruv Pillai,Male,10,76.8,7.7,60.2,73.2,64.8,44.4,242.6,60.6,Pass
STU1285,Pari Rao,Male,10,76.8,11.9,68.4,60.7,83.6,71.8,284.5,71.1,Pass
STU1286,Neha Reddy,Female,9,66.0,13.1,56.5,64.4,51.9,59.8,232.6,58.2,Pass
STU1287,Neha Iyer,Male,11,71.1,6.9,41.1,55.0,55.4,51.3,202.8,50.7,Pass
STU1288,Neha Iyer,Male,11,68.9,6.2,39.1,49.2,38.3,46.3,172.9,43.2,Pass
STU1289,Meera Reddy,Male,12,87.1,9.8,31.9,42.7,36.6,33.5,144.7,36.2,Fail
STU1290,Ishaan Rao,Male,9,92.5,8.8,57.0,61.8,74.1,58.1,251.0,62.8,Pass
STU1291,Aryan Sharma,Female,12,78.9,14.6,54.2,51.0,49.8,50.6,205.6,51.4,Pass
STU1292,Neha Mehta,Male,12,82.8,6.1,68.1,64.9,56.1,65.1,254.2,63.6,Pass
STU1293,Aarav Pillai,Female,12,78.2,10.2,57.7,60.1,60.5,65.1,243.4,60.8,Pass
STU1294,Vivaan Chavan,Female,11,70.3,19.7,65.7,63.6,77.0,54.4,260.7,65.2,Pass
STU1295,Kabir Joshi,Female,9,90.3,12.2,59.2,67.5,68.8,59.5,255.0,63.8,Pass
STU1296,Krishna Desai,Female,12,87.8,12.7,67.9,56.5,54.4,60.0,238.8,59.7,Pass
STU1297,Aryan Sharma,Male,9,57.3,13.5,46.3,52.9,57.4,45.8,202.4,50.6,Pass
STU1298,Anika Desai,Female,9,76.6,8.0,38.4,39.4,27.7,39.9,145.4,36.4,Fail
STU1299,Reyansh Pillai,Female,11,69.4,5.1,31.9,34.2,48.6,36.8,151.5,37.9,Fail
STU1005,Pari Reddy,Male,12,86.2,14.7,53.3,52.5,71.7,51.2,228.7,57.2,Pass
STU1020,Rohan Rao,Female,11,,7.8,50.9,61.2,69.5,54.2,235.8,59.0,Pass
